time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),Action
29.115,29.115,29.115,29.115,29.115,Pushup
29.116,29.116,29.116,29.116,29.116,Pushup
29.117,29.117,29.117,29.117,29.117,Pushup
29.118,29.118,29.118,29.118,29.118,Pushup
29.119,29.119,29.119,29.119,29.119,Pushup
29.12,29.12,29.12,29.12,29.12,Pushup
29.121,29.121,29.121,29.121,29.121,Pushup
29.125,29.125,29.125,29.125,29.125,Pushup
29.134,29.134,29.134,29.134,29.134,Pushup
29.146,29.146,29.146,29.146,29.146,Pushup
29.154,29.154,29.154,29.154,29.154,Pushup
29.164,29.164,29.164,29.164,29.164,Pushup
29.24,29.24,29.24,29.24,29.24,Pushup
29.241,29.241,29.241,29.241,29.241,Pushup
29.242,29.242,29.242,29.242,29.242,Pushup
29.242,29.242,29.242,29.242,29.242,Pushup
29.243,29.243,29.243,29.243,29.243,Pushup
29.243,29.243,29.243,29.243,29.243,Pushup
29.243,29.243,29.243,29.243,29.243,Pushup
29.244,29.244,29.244,29.244,29.244,Pushup
29.254,29.254,29.254,29.254,29.254,Pushup
29.263,29.263,29.263,29.263,29.263,Pushup
29.286,29.286,29.286,29.286,29.286,Pushup
29.288,29.288,29.288,29.288,29.288,Pushup
29.372,29.372,29.372,29.372,29.372,Pushup
29.373,29.373,29.373,29.373,29.373,Pushup
29.374,29.374,29.374,29.374,29.374,Pushup
29.375,29.375,29.375,29.375,29.375,Pushup
29.376,29.376,29.376,29.376,29.376,Pushup
29.376,29.376,29.376,29.376,29.376,Pushup
29.377,29.377,29.377,29.377,29.377,Pushup
29.377,29.377,29.377,29.377,29.377,Pushup
29.378,29.378,29.378,29.378,29.378,Pushup
29.384,29.384,29.384,29.384,29.384,Pushup
29.394,29.394,29.394,29.394,29.394,Pushup
29.403,29.403,29.403,29.403,29.403,Pushup
29.416,29.416,29.416,29.416,29.416,Pushup
29.423,29.423,29.423,29.423,29.423,Pushup
29.496,29.496,29.496,29.496,29.496,Pushup
29.497,29.497,29.497,29.497,29.497,Pushup
29.498,29.498,29.498,29.498,29.498,Pushup
29.499,29.499,29.499,29.499,29.499,Pushup
29.5,29.5,29.5,29.5,29.5,Pushup
29.501,29.501,29.501,29.501,29.501,Pushup
29.501,29.501,29.501,29.501,29.501,Pushup
29.504,29.504,29.504,29.504,29.504,Pushup
29.514,29.514,29.514,29.514,29.514,Pushup
29.524,29.524,29.524,29.524,29.524,Pushup
29.534,29.534,29.534,29.534,29.534,Pushup
29.603,29.603,29.603,29.603,29.603,Pushup
29.604,29.604,29.604,29.604,29.604,Pushup
29.605,29.605,29.605,29.605,29.605,Pushup
29.605,29.605,29.605,29.605,29.605,Pushup
29.606,29.606,29.606,29.606,29.606,Pushup
29.606,29.606,29.606,29.606,29.606,Pushup
29.606,29.606,29.606,29.606,29.606,Pushup
29.613,29.613,29.613,29.613,29.613,Pushup
29.623,29.623,29.623,29.623,29.623,Pushup
29.634,29.634,29.634,29.634,29.634,Pushup
29.695,29.695,29.695,29.695,29.695,Pushup
29.696,29.696,29.696,29.696,29.696,Pushup
29.697,29.697,29.697,29.697,29.697,Pushup
29.698,29.698,29.698,29.698,29.698,Pushup
29.698,29.698,29.698,29.698,29.698,Pushup
29.699,29.699,29.699,29.699,29.699,Pushup
29.704,29.704,29.704,29.704,29.704,Pushup
29.714,29.714,29.714,29.714,29.714,Pushup
29.723,29.723,29.723,29.723,29.723,Pushup
29.733,29.733,29.733,29.733,29.733,Pushup
29.795,29.795,29.795,29.795,29.795,Pushup
29.797,29.797,29.797,29.797,29.797,Pushup
29.798,29.798,29.798,29.798,29.798,Pushup
29.799,29.799,29.799,29.799,29.799,Pushup
29.8,29.8,29.8,29.8,29.8,Pushup
29.801,29.801,29.801,29.801,29.801,Pushup
29.803,29.803,29.803,29.803,29.803,Pushup
29.813,29.813,29.813,29.813,29.813,Pushup
29.824,29.824,29.824,29.824,29.824,Pushup
29.833,29.833,29.833,29.833,29.833,Pushup
29.895,29.895,29.895,29.895,29.895,Pushup
29.897,29.897,29.897,29.897,29.897,Pushup
29.898,29.898,29.898,29.898,29.898,Pushup
29.899,29.899,29.899,29.899,29.899,Pushup
29.9,29.9,29.9,29.9,29.9,Pushup
29.901,29.901,29.901,29.901,29.901,Pushup
29.903,29.903,29.903,29.903,29.903,Pushup
29.913,29.913,29.913,29.913,29.913,Pushup
29.931,29.931,29.931,29.931,29.931,Pushup
29.934,29.934,29.934,29.934,29.934,Pushup
29.998,29.998,29.998,29.998,29.998,Pushup
30.0,30.0,30.0,30.0,30.0,Pushup
30.0,30.0,30.0,30.0,30.0,Pushup
30.001,30.001,30.001,30.001,30.001,Pushup
30.002,30.002,30.002,30.002,30.002,Pushup
30.002,30.002,30.002,30.002,30.002,Pushup
30.004,30.004,30.004,30.004,30.004,Pushup
30.014,30.014,30.014,30.014,30.014,Pushup
30.024,30.024,30.024,30.024,30.024,Pushup
30.033,30.033,30.033,30.033,30.033,Pushup
30.107,30.107,30.107,30.107,30.107,Pushup
30.108,30.108,30.108,30.108,30.108,Pushup
30.109,30.109,30.109,30.109,30.109,Pushup
30.11,30.11,30.11,30.11,30.11,Pushup
30.11,30.11,30.11,30.11,30.11,Pushup
30.111,30.111,30.111,30.111,30.111,Pushup
30.112,30.112,30.112,30.112,30.112,Pushup
30.115,30.115,30.115,30.115,30.115,Pushup
30.124,30.124,30.124,30.124,30.124,Pushup
30.134,30.134,30.134,30.134,30.134,Pushup
30.149,30.149,30.149,30.149,30.149,Pushup
30.153,30.153,30.153,30.153,30.153,Pushup
30.212,30.212,30.212,30.212,30.212,Pushup
30.213,30.213,30.213,30.213,30.213,Pushup
30.213,30.213,30.213,30.213,30.213,Pushup
30.214,30.214,30.214,30.214,30.214,Pushup
30.214,30.214,30.214,30.214,30.214,Pushup
30.214,30.214,30.214,30.214,30.214,Pushup
30.223,30.223,30.223,30.223,30.223,Pushup
30.233,30.233,30.233,30.233,30.233,Pushup
30.249,30.249,30.249,30.249,30.249,Pushup
30.253,30.253,30.253,30.253,30.253,Pushup
30.314,30.314,30.314,30.314,30.314,Pushup
30.315,30.315,30.315,30.315,30.315,Pushup
30.316,30.316,30.316,30.316,30.316,Pushup
30.316,30.316,30.316,30.316,30.316,Pushup
30.316,30.316,30.316,30.316,30.316,Pushup
30.317,30.317,30.317,30.317,30.317,Pushup
30.324,30.324,30.324,30.324,30.324,Pushup
30.334,30.334,30.334,30.334,30.334,Pushup
30.349,30.349,30.349,30.349,30.349,Pushup
30.353,30.353,30.353,30.353,30.353,Pushup
30.413,30.413,30.413,30.413,30.413,Pushup
30.414,30.414,30.414,30.414,30.414,Pushup
30.414,30.414,30.414,30.414,30.414,Pushup
30.415,30.415,30.415,30.415,30.415,Pushup
30.415,30.415,30.415,30.415,30.415,Pushup
30.416,30.416,30.416,30.416,30.416,Pushup
30.423,30.423,30.423,30.423,30.423,Pushup
30.434,30.434,30.434,30.434,30.434,Pushup
30.446,30.446,30.446,30.446,30.446,Pushup
30.454,30.454,30.454,30.454,30.454,Pushup
30.466,30.466,30.466,30.466,30.466,Pushup
30.473,30.473,30.473,30.473,30.473,Pushup
30.537,30.537,30.537,30.537,30.537,Pushup
30.538,30.538,30.538,30.538,30.538,Pushup
30.539,30.539,30.539,30.539,30.539,Pushup
30.541,30.541,30.541,30.541,30.541,Pushup
30.542,30.542,30.542,30.542,30.542,Pushup
30.544,30.544,30.544,30.544,30.544,Pushup
30.546,30.546,30.546,30.546,30.546,Pushup
30.554,30.554,30.554,30.554,30.554,Pushup
30.568,30.568,30.568,30.568,30.568,Pushup
30.573,30.573,30.573,30.573,30.573,Pushup
30.636,30.636,30.636,30.636,30.636,Pushup
30.637,30.637,30.637,30.637,30.637,Pushup
30.638,30.638,30.638,30.638,30.638,Pushup
30.639,30.639,30.639,30.639,30.639,Pushup
30.64,30.64,30.64,30.64,30.64,Pushup
30.641,30.641,30.641,30.641,30.641,Pushup
30.642,30.642,30.642,30.642,30.642,Pushup
30.652,30.652,30.652,30.652,30.652,Pushup
30.662,30.662,30.662,30.662,30.662,Pushup
30.672,30.672,30.672,30.672,30.672,Pushup
30.683,30.683,30.683,30.683,30.683,Pushup
30.692,30.692,30.692,30.692,30.692,Pushup
30.746,30.746,30.746,30.746,30.746,Pushup
30.747,30.747,30.747,30.747,30.747,Pushup
30.747,30.747,30.747,30.747,30.747,Pushup
30.749,30.749,30.749,30.749,30.749,Pushup
30.749,30.749,30.749,30.749,30.749,Pushup
30.752,30.752,30.752,30.752,30.752,Pushup
30.762,30.762,30.762,30.762,30.762,Pushup
30.773,30.773,30.773,30.773,30.773,Pushup
30.782,30.782,30.782,30.782,30.782,Pushup
30.792,30.792,30.792,30.792,30.792,Pushup
30.803,30.803,30.803,30.803,30.803,Pushup
30.867,30.867,30.867,30.867,30.867,Pushup
30.868,30.868,30.868,30.868,30.868,Pushup
30.869,30.869,30.869,30.869,30.869,Pushup
30.871,30.871,30.871,30.871,30.871,Pushup
30.872,30.872,30.872,30.872,30.872,Pushup
30.873,30.873,30.873,30.873,30.873,Pushup
30.874,30.874,30.874,30.874,30.874,Pushup
30.883,30.883,30.883,30.883,30.883,Pushup
30.892,30.892,30.892,30.892,30.892,Pushup
30.903,30.903,30.903,30.903,30.903,Pushup
30.976,30.976,30.976,30.976,30.976,Pushup
30.978,30.978,30.978,30.978,30.978,Pushup
30.979,30.979,30.979,30.979,30.979,Pushup
30.979,30.979,30.979,30.979,30.979,Pushup
30.98,30.98,30.98,30.98,30.98,Pushup
30.98,30.98,30.98,30.98,30.98,Pushup
30.981,30.981,30.981,30.981,30.981,Pushup
30.983,30.983,30.983,30.983,30.983,Pushup
30.993,30.993,30.993,30.993,30.993,Pushup
31.002,31.002,31.002,31.002,31.002,Pushup
31.017,31.017,31.017,31.017,31.017,Pushup
31.022,31.022,31.022,31.022,31.022,Pushup
31.08,31.08,31.08,31.08,31.08,Pushup
31.081,31.081,31.081,31.081,31.081,Pushup
31.083,31.083,31.083,31.083,31.083,Pushup
31.084,31.084,31.084,31.084,31.084,Pushup
31.085,31.085,31.085,31.085,31.085,Pushup
31.086,31.086,31.086,31.086,31.086,Pushup
31.093,31.093,31.093,31.093,31.093,Pushup
31.103,31.103,31.103,31.103,31.103,Pushup
31.118,31.118,31.118,31.118,31.118,Pushup
31.123,31.123,31.123,31.123,31.123,Pushup
31.202,31.202,31.202,31.202,31.202,Pushup
31.203,31.203,31.203,31.203,31.203,Pushup
31.204,31.204,31.204,31.204,31.204,Pushup
31.204,31.204,31.204,31.204,31.204,Pushup
31.205,31.205,31.205,31.205,31.205,Pushup
31.206,31.206,31.206,31.206,31.206,Pushup
31.207,31.207,31.207,31.207,31.207,Pushup
31.207,31.207,31.207,31.207,31.207,Pushup
31.214,31.214,31.214,31.214,31.214,Pushup
31.224,31.224,31.224,31.224,31.224,Pushup
31.235,31.235,31.235,31.235,31.235,Pushup
31.244,31.244,31.244,31.244,31.244,Pushup
31.254,31.254,31.254,31.254,31.254,Pushup
31.335,31.335,31.335,31.335,31.335,Pushup
31.336,31.336,31.336,31.336,31.336,Pushup
31.337,31.337,31.337,31.337,31.337,Pushup
31.337,31.337,31.337,31.337,31.337,Pushup
31.337,31.337,31.337,31.337,31.337,Pushup
31.338,31.338,31.338,31.338,31.338,Pushup
31.338,31.338,31.338,31.338,31.338,Pushup
31.339,31.339,31.339,31.339,31.339,Pushup
31.343,31.343,31.343,31.343,31.343,Pushup
31.353,31.353,31.353,31.353,31.353,Pushup
31.369,31.369,31.369,31.369,31.369,Pushup
31.373,31.373,31.373,31.373,31.373,Pushup
31.434,31.434,31.434,31.434,31.434,Pushup
31.435,31.435,31.435,31.435,31.435,Pushup
31.436,31.436,31.436,31.436,31.436,Pushup
31.436,31.436,31.436,31.436,31.436,Pushup
31.437,31.437,31.437,31.437,31.437,Pushup
31.437,31.437,31.437,31.437,31.437,Pushup
31.443,31.443,31.443,31.443,31.443,Pushup
31.452,31.452,31.452,31.452,31.452,Pushup
31.469,31.469,31.469,31.469,31.469,Pushup
31.473,31.473,31.473,31.473,31.473,Pushup
31.533,31.533,31.533,31.533,31.533,Pushup
31.534,31.534,31.534,31.534,31.534,Pushup
31.535,31.535,31.535,31.535,31.535,Pushup
31.535,31.535,31.535,31.535,31.535,Pushup
31.536,31.536,31.536,31.536,31.536,Pushup
31.536,31.536,31.536,31.536,31.536,Pushup
31.543,31.543,31.543,31.543,31.543,Pushup
31.553,31.553,31.553,31.553,31.553,Pushup
31.569,31.569,31.569,31.569,31.569,Pushup
31.573,31.573,31.573,31.573,31.573,Pushup
31.633,31.633,31.633,31.633,31.633,Pushup
31.635,31.635,31.635,31.635,31.635,Pushup
31.635,31.635,31.635,31.635,31.635,Pushup
31.636,31.636,31.636,31.636,31.636,Pushup
31.636,31.636,31.636,31.636,31.636,Pushup
31.637,31.637,31.637,31.637,31.637,Pushup
31.643,31.643,31.643,31.643,31.643,Pushup
31.653,31.653,31.653,31.653,31.653,Pushup
31.67,31.67,31.67,31.67,31.67,Pushup
31.674,31.674,31.674,31.674,31.674,Pushup
31.733,31.733,31.733,31.733,31.733,Pushup
31.734,31.734,31.734,31.734,31.734,Pushup
31.735,31.735,31.735,31.735,31.735,Pushup
31.736,31.736,31.736,31.736,31.736,Pushup
31.736,31.736,31.736,31.736,31.736,Pushup
31.736,31.736,31.736,31.736,31.736,Pushup
31.744,31.744,31.744,31.744,31.744,Pushup
31.753,31.753,31.753,31.753,31.753,Pushup
31.764,31.764,31.764,31.764,31.764,Pushup
31.781,31.781,31.781,31.781,31.781,Pushup
31.782,31.782,31.782,31.782,31.782,Pushup
31.793,31.793,31.793,31.793,31.793,Pushup
31.804,31.804,31.804,31.804,31.804,Pushup
31.886,31.886,31.886,31.886,31.886,Pushup
31.888,31.888,31.888,31.888,31.888,Pushup
31.889,31.889,31.889,31.889,31.889,Pushup
31.889,31.889,31.889,31.889,31.889,Pushup
31.89,31.89,31.89,31.89,31.89,Pushup
31.891,31.891,31.891,31.891,31.891,Pushup
31.891,31.891,31.891,31.891,31.891,Pushup
31.892,31.892,31.892,31.892,31.892,Pushup
31.893,31.893,31.893,31.893,31.893,Pushup
31.903,31.903,31.903,31.903,31.903,Pushup
31.921,31.921,31.921,31.921,31.921,Pushup
31.924,31.924,31.924,31.924,31.924,Pushup
31.992,31.992,31.992,31.992,31.992,Pushup
31.995,31.995,31.995,31.995,31.995,Pushup
31.995,31.995,31.995,31.995,31.995,Pushup
31.996,31.996,31.996,31.996,31.996,Pushup
31.997,31.997,31.997,31.997,31.997,Pushup
31.999,31.999,31.999,31.999,31.999,Pushup
31.999,31.999,31.999,31.999,31.999,Pushup
32.004,32.004,32.004,32.004,32.004,Pushup
32.013,32.013,32.013,32.013,32.013,Pushup
32.024,32.024,32.024,32.024,32.024,Pushup
32.084,32.084,32.084,32.084,32.084,Pushup
32.084,32.084,32.084,32.084,32.084,Pushup
32.085,32.085,32.085,32.085,32.085,Pushup
32.086,32.086,32.086,32.086,32.086,Pushup
32.087,32.087,32.087,32.087,32.087,Pushup
32.088,32.088,32.088,32.088,32.088,Pushup
32.093,32.093,32.093,32.093,32.093,Pushup
32.103,32.103,32.103,32.103,32.103,Pushup
32.12,32.12,32.12,32.12,32.12,Pushup
32.124,32.124,32.124,32.124,32.124,Pushup
32.182,32.182,32.182,32.182,32.182,Pushup
32.184,32.184,32.184,32.184,32.184,Pushup
32.184,32.184,32.184,32.184,32.184,Pushup
32.185,32.185,32.185,32.185,32.185,Pushup
32.185,32.185,32.185,32.185,32.185,Pushup
32.185,32.185,32.185,32.185,32.185,Pushup
32.193,32.193,32.193,32.193,32.193,Pushup
32.203,32.203,32.203,32.203,32.203,Pushup
32.223,32.223,32.223,32.223,32.223,Pushup
32.224,32.224,32.224,32.224,32.224,Pushup
32.304,32.304,32.304,32.304,32.304,Pushup
32.305,32.305,32.305,32.305,32.305,Pushup
32.305,32.305,32.305,32.305,32.305,Pushup
32.306,32.306,32.306,32.306,32.306,Pushup
32.306,32.306,32.306,32.306,32.306,Pushup
32.307,32.307,32.307,32.307,32.307,Pushup
32.307,32.307,32.307,32.307,32.307,Pushup
32.308,32.308,32.308,32.308,32.308,Pushup
32.313,32.313,32.313,32.313,32.313,Pushup
32.323,32.323,32.323,32.323,32.323,Pushup
32.339,32.339,32.339,32.339,32.339,Pushup
32.342,32.342,32.342,32.342,32.342,Pushup
32.42,32.42,32.42,32.42,32.42,Pushup
32.421,32.421,32.421,32.421,32.421,Pushup
32.422,32.422,32.422,32.422,32.422,Pushup
32.423,32.423,32.423,32.423,32.423,Pushup
32.424,32.424,32.424,32.424,32.424,Pushup
32.424,32.424,32.424,32.424,32.424,Pushup
32.425,32.425,32.425,32.425,32.425,Pushup
32.425,32.425,32.425,32.425,32.425,Pushup
32.433,32.433,32.433,32.433,32.433,Pushup
32.443,32.443,32.443,32.443,32.443,Pushup
32.452,32.452,32.452,32.452,32.452,Pushup
32.463,32.463,32.463,32.463,32.463,Pushup
32.473,32.473,32.473,32.473,32.473,Pushup
32.554,32.554,32.554,32.554,32.554,Pushup
32.555,32.555,32.555,32.555,32.555,Pushup
32.556,32.556,32.556,32.556,32.556,Pushup
32.557,32.557,32.557,32.557,32.557,Pushup
32.557,32.557,32.557,32.557,32.557,Pushup
32.558,32.558,32.558,32.558,32.558,Pushup
32.558,32.558,32.558,32.558,32.558,Pushup
32.559,32.559,32.559,32.559,32.559,Pushup
32.562,32.562,32.562,32.562,32.562,Pushup
32.573,32.573,32.573,32.573,32.573,Pushup
32.591,32.591,32.591,32.591,32.591,Pushup
32.593,32.593,32.593,32.593,32.593,Pushup
32.649,32.649,32.649,32.649,32.649,Pushup
32.65,32.65,32.65,32.65,32.65,Pushup
32.65,32.65,32.65,32.65,32.65,Pushup
32.651,32.651,32.651,32.651,32.651,Pushup
32.651,32.651,32.651,32.651,32.651,Pushup
32.652,32.652,32.652,32.652,32.652,Pushup
32.662,32.662,32.662,32.662,32.662,Pushup
32.672,32.672,32.672,32.672,32.672,Pushup
32.691,32.691,32.691,32.691,32.691,Pushup
32.692,32.692,32.692,32.692,32.692,Pushup
32.771,32.771,32.771,32.771,32.771,Pushup
32.773,32.773,32.773,32.773,32.773,Pushup
32.774,32.774,32.774,32.774,32.774,Pushup
32.774,32.774,32.774,32.774,32.774,Pushup
32.774,32.774,32.774,32.774,32.774,Pushup
32.775,32.775,32.775,32.775,32.775,Pushup
32.776,32.776,32.776,32.776,32.776,Pushup
32.776,32.776,32.776,32.776,32.776,Pushup
32.784,32.784,32.784,32.784,32.784,Pushup
32.792,32.792,32.792,32.792,32.792,Pushup
32.806,32.806,32.806,32.806,32.806,Pushup
32.812,32.812,32.812,32.812,32.812,Pushup
32.876,32.876,32.876,32.876,32.876,Pushup
32.877,32.877,32.877,32.877,32.877,Pushup
32.878,32.878,32.878,32.878,32.878,Pushup
32.879,32.879,32.879,32.879,32.879,Pushup
32.88,32.88,32.88,32.88,32.88,Pushup
32.882,32.882,32.882,32.882,32.882,Pushup
32.882,32.882,32.882,32.882,32.882,Pushup
32.892,32.892,32.892,32.892,32.892,Pushup
32.906,32.906,32.906,32.906,32.906,Pushup
32.912,32.912,32.912,32.912,32.912,Pushup
32.971,32.971,32.971,32.971,32.971,Pushup
32.972,32.972,32.972,32.972,32.972,Pushup
32.972,32.972,32.972,32.972,32.972,Pushup
32.974,32.974,32.974,32.974,32.974,Pushup
32.974,32.974,32.974,32.974,32.974,Pushup
32.975,32.975,32.975,32.975,32.975,Pushup
32.982,32.982,32.982,32.982,32.982,Pushup
32.992,32.992,32.992,32.992,32.992,Pushup
33.006,33.006,33.006,33.006,33.006,Pushup
33.012,33.012,33.012,33.012,33.012,Pushup
33.067,33.067,33.067,33.067,33.067,Pushup
33.069,33.069,33.069,33.069,33.069,Pushup
33.07,33.07,33.07,33.07,33.07,Pushup
33.071,33.071,33.071,33.071,33.071,Pushup
33.072,33.072,33.072,33.072,33.072,Pushup
33.073,33.073,33.073,33.073,33.073,Pushup
33.082,33.082,33.082,33.082,33.082,Pushup
33.092,33.092,33.092,33.092,33.092,Pushup
33.108,33.108,33.108,33.108,33.108,Pushup
33.113,33.113,33.113,33.113,33.113,Pushup
33.181,33.181,33.181,33.181,33.181,Pushup
33.183,33.183,33.183,33.183,33.183,Pushup
33.185,33.185,33.185,33.185,33.185,Pushup
33.187,33.187,33.187,33.187,33.187,Pushup
33.188,33.188,33.188,33.188,33.188,Pushup
33.189,33.189,33.189,33.189,33.189,Pushup
33.189,33.189,33.189,33.189,33.189,Pushup
33.193,33.193,33.193,33.193,33.193,Pushup
33.204,33.204,33.204,33.204,33.204,Pushup
33.213,33.213,33.213,33.213,33.213,Pushup
33.226,33.226,33.226,33.226,33.226,Pushup
33.311,33.311,33.311,33.311,33.311,Pushup
33.312,33.312,33.312,33.312,33.312,Pushup
33.313,33.313,33.313,33.313,33.313,Pushup
33.314,33.314,33.314,33.314,33.314,Pushup
33.315,33.315,33.315,33.315,33.315,Pushup
33.316,33.316,33.316,33.316,33.316,Pushup
33.317,33.317,33.317,33.317,33.317,Pushup
33.319,33.319,33.319,33.319,33.319,Pushup
33.32,33.32,33.32,33.32,33.32,Pushup
33.323,33.323,33.323,33.323,33.323,Pushup
33.333,33.333,33.333,33.333,33.333,Pushup
33.343,33.343,33.343,33.343,33.343,Pushup
33.404,33.404,33.404,33.404,33.404,Pushup
33.405,33.405,33.405,33.405,33.405,Pushup
33.406,33.406,33.406,33.406,33.406,Pushup
33.408,33.408,33.408,33.408,33.408,Pushup
33.409,33.409,33.409,33.409,33.409,Pushup
33.41,33.41,33.41,33.41,33.41,Pushup
33.413,33.413,33.413,33.413,33.413,Pushup
33.423,33.423,33.423,33.423,33.423,Pushup
33.441,33.441,33.441,33.441,33.441,Pushup
33.443,33.443,33.443,33.443,33.443,Pushup
33.509,33.509,33.509,33.509,33.509,Pushup
33.511,33.511,33.511,33.511,33.511,Pushup
33.511,33.511,33.511,33.511,33.511,Pushup
33.512,33.512,33.512,33.512,33.512,Pushup
33.513,33.513,33.513,33.513,33.513,Pushup
33.514,33.514,33.514,33.514,33.514,Pushup
33.515,33.515,33.515,33.515,33.515,Pushup
33.522,33.522,33.522,33.522,33.522,Pushup
33.533,33.533,33.533,33.533,33.533,Pushup
33.543,33.543,33.543,33.543,33.543,Pushup
33.557,33.557,33.557,33.557,33.557,Pushup
33.563,33.563,33.563,33.563,33.563,Pushup
33.621,33.621,33.621,33.621,33.621,Pushup
33.622,33.622,33.622,33.622,33.622,Pushup
33.623,33.623,33.623,33.623,33.623,Pushup
33.624,33.624,33.624,33.624,33.624,Pushup
33.625,33.625,33.625,33.625,33.625,Pushup
33.626,33.626,33.626,33.626,33.626,Pushup
33.633,33.633,33.633,33.633,33.633,Pushup
33.643,33.643,33.643,33.643,33.643,Pushup
33.658,33.658,33.658,33.658,33.658,Pushup
33.662,33.662,33.662,33.662,33.662,Pushup
33.722,33.722,33.722,33.722,33.722,Pushup
33.723,33.723,33.723,33.723,33.723,Pushup
33.724,33.724,33.724,33.724,33.724,Pushup
33.725,33.725,33.725,33.725,33.725,Pushup
33.726,33.726,33.726,33.726,33.726,Pushup
33.726,33.726,33.726,33.726,33.726,Pushup
33.732,33.732,33.732,33.732,33.732,Pushup
33.742,33.742,33.742,33.742,33.742,Pushup
33.753,33.753,33.753,33.753,33.753,Pushup
33.762,33.762,33.762,33.762,33.762,Pushup
33.772,33.772,33.772,33.772,33.772,Pushup
33.782,33.782,33.782,33.782,33.782,Pushup
33.793,33.793,33.793,33.793,33.793,Pushup
33.876,33.876,33.876,33.876,33.876,Pushup
33.878,33.878,33.878,33.878,33.878,Pushup
33.879,33.879,33.879,33.879,33.879,Pushup
33.879,33.879,33.879,33.879,33.879,Pushup
33.88,33.88,33.88,33.88,33.88,Pushup
33.882,33.882,33.882,33.882,33.882,Pushup
33.884,33.884,33.884,33.884,33.884,Pushup
33.885,33.885,33.885,33.885,33.885,Pushup
33.886,33.886,33.886,33.886,33.886,Pushup
33.894,33.894,33.894,33.894,33.894,Pushup
33.91,33.91,33.91,33.91,33.91,Pushup
33.914,33.914,33.914,33.914,33.914,Pushup
33.974,33.974,33.974,33.974,33.974,Pushup
33.976,33.976,33.976,33.976,33.976,Pushup
33.977,33.977,33.977,33.977,33.977,Pushup
33.977,33.977,33.977,33.977,33.977,Pushup
33.979,33.979,33.979,33.979,33.979,Pushup
33.98,33.98,33.98,33.98,33.98,Pushup
33.983,33.983,33.983,33.983,33.983,Pushup
33.993,33.993,33.993,33.993,33.993,Pushup
34.009,34.009,34.009,34.009,34.009,Pushup
34.014,34.014,34.014,34.014,34.014,Pushup
34.074,34.074,34.074,34.074,34.074,Pushup
34.075,34.075,34.075,34.075,34.075,Pushup
34.076,34.076,34.076,34.076,34.076,Pushup
34.077,34.077,34.077,34.077,34.077,Pushup
34.077,34.077,34.077,34.077,34.077,Pushup
34.078,34.078,34.078,34.078,34.078,Pushup
34.083,34.083,34.083,34.083,34.083,Pushup
34.093,34.093,34.093,34.093,34.093,Pushup
34.11,34.11,34.11,34.11,34.11,Pushup
34.112,34.112,34.112,34.112,34.112,Pushup
34.175,34.175,34.175,34.175,34.175,Pushup
34.176,34.176,34.176,34.176,34.176,Pushup
34.176,34.176,34.176,34.176,34.176,Pushup
34.177,34.177,34.177,34.177,34.177,Pushup
34.177,34.177,34.177,34.177,34.177,Pushup
34.178,34.178,34.178,34.178,34.178,Pushup
34.183,34.183,34.183,34.183,34.183,Pushup
34.192,34.192,34.192,34.192,34.192,Pushup
34.211,34.211,34.211,34.211,34.211,Pushup
34.215,34.215,34.215,34.215,34.215,Pushup
34.282,34.282,34.282,34.282,34.282,Pushup
34.284,34.284,34.284,34.284,34.284,Pushup
34.285,34.285,34.285,34.285,34.285,Pushup
34.29,34.29,34.29,34.29,34.29,Pushup
34.291,34.291,34.291,34.291,34.291,Pushup
34.292,34.292,34.292,34.292,34.292,Pushup
34.293,34.293,34.293,34.293,34.293,Pushup
34.296,34.296,34.296,34.296,34.296,Pushup
34.304,34.304,34.304,34.304,34.304,Pushup
34.313,34.313,34.313,34.313,34.313,Pushup
34.326,34.326,34.326,34.326,34.326,Pushup
34.333,34.333,34.333,34.333,34.333,Pushup
34.393,34.393,34.393,34.393,34.393,Pushup
34.395,34.395,34.395,34.395,34.395,Pushup
34.395,34.395,34.395,34.395,34.395,Pushup
34.396,34.396,34.396,34.396,34.396,Pushup
34.397,34.397,34.397,34.397,34.397,Pushup
34.398,34.398,34.398,34.398,34.398,Pushup
34.405,34.405,34.405,34.405,34.405,Pushup
34.413,34.413,34.413,34.413,34.413,Pushup
34.424,34.424,34.424,34.424,34.424,Pushup
34.433,34.433,34.433,34.433,34.433,Pushup
34.443,34.443,34.443,34.443,34.443,Pushup
34.452,34.452,34.452,34.452,34.452,Pushup
34.509,34.509,34.509,34.509,34.509,Pushup
34.51,34.51,34.51,34.51,34.51,Pushup
34.512,34.512,34.512,34.512,34.512,Pushup
34.513,34.513,34.513,34.513,34.513,Pushup
34.513,34.513,34.513,34.513,34.513,Pushup
34.514,34.514,34.514,34.514,34.514,Pushup
34.522,34.522,34.522,34.522,34.522,Pushup
34.533,34.533,34.533,34.533,34.533,Pushup
34.543,34.543,34.543,34.543,34.543,Pushup
34.611,34.611,34.611,34.611,34.611,Pushup
34.612,34.612,34.612,34.612,34.612,Pushup
34.614,34.614,34.614,34.614,34.614,Pushup
34.614,34.614,34.614,34.614,34.614,Pushup
34.615,34.615,34.615,34.615,34.615,Pushup
34.616,34.616,34.616,34.616,34.616,Pushup
34.617,34.617,34.617,34.617,34.617,Pushup
34.624,34.624,34.624,34.624,34.624,Pushup
