time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),Action
7.004,1.8006,0.1718,-0.602,1.906,Walking
7.007,1.6935,-0.8336,-0.2596,1.905,Walking
7.018,1.9863,-1.0751,-0.1453,2.263,Walking
7.027,2.2782,-1.3011,-0.2939,2.64,Walking
7.037,2.533,-1.6286,-0.3939,3.037,Walking
7.049,2.2449,-1.9345,-0.6632,3.037,Walking
7.055,2.1212,-2.1769,-0.7114,3.122,Walking
7.069,1.5479,-2.5258,-0.3935,2.988,Walking
7.077,0.822,-2.66,-0.1659,2.7889999999999997,Walking
7.092,-0.039,-2.6284,0.0957,2.63,Walking
7.1,-0.6834,-2.2461,0.2726,2.364,Walking
7.123,-0.8083,-1.8699,0.6358,2.134,Walking
7.124,-0.5501,-1.4524,0.79,1.742,Walking
7.129,-0.3333,-1.1506,0.5285,1.3090000000000002,Walking
7.137,-0.1713,-0.938,0.3389,1.012,Walking
7.147,-0.2636,-0.6728,0.2151,0.754,Walking
7.158,-0.304,-0.4648,0.3506,0.657,Walking
7.166,-0.497,-0.2727,0.5765,0.809,Walking
7.18,-0.6664,-0.3713,0.5574,0.945,Walking
7.193,-0.8754,-0.4417,0.6928,1.2009999999999998,Walking
7.199,-0.8869,-0.4084,0.6754,1.187,Walking
7.228,-1.0281,-0.4266,0.5671,1.249,Walking
7.23,-1.1646,-0.4446,0.4342,1.32,Walking
7.231,-1.3614,-0.3089,0.3811,1.4469999999999998,Walking
7.238,-1.4597,-0.0549,0.1006,1.464,Walking
7.247,-1.4667,0.1051,-0.2409,1.49,Walking
7.259,-1.5065,0.3224,-0.5033,1.621,Walking
7.265,-1.4514,0.6129,-0.5645,1.6740000000000002,Walking
7.28,-1.3238,0.8457,-0.6104,1.685,Walking
7.295,-1.2616,1.0603,-0.7259,1.801,Walking
7.297,-1.1346,0.8448,-0.6787,1.569,Walking
7.328,-1.0192,0.5509,-0.8261,1.423,Walking
7.329,-0.8426,0.1402,-0.8099,1.177,Walking
7.329,-0.5331,-0.2608,-0.8688,1.052,Walking
7.34,-0.2233,-0.9196,-0.9542,1.344,Walking
7.347,0.2291,-1.6262,-1.1154,1.985,Walking
7.357,0.799,-2.0227,-1.0131,2.399,Walking
7.367,1.444,-1.9568,-0.8126,2.5639999999999996,Walking
7.378,2.2694,-1.409,-0.845,2.802,Walking
7.392,3.3198,-0.7988,-0.7524,3.4960000000000004,Walking
7.4,3.8828,-0.3062,-0.2942,3.906,Walking
7.415,4.2504,-0.4302,0.3258,4.284,Walking
7.424,4.3953,-1.256,1.1327,4.709,Walking
7.426,4.3953,-1.256,1.1327,4.709,Walking
7.427,3.8368,-1.8668,1.782,4.624,Walking
7.439,3.039,-1.8219,3.3567,4.881,Walking
7.449,2.4524,-1.8947,3.894,4.977,Walking
7.457,2.0418,-1.5373,4.5974,5.26,Walking
7.467,1.2309,-0.8901,5.5357,5.74,Walking
7.48,0.5426,0.5285,5.9391,5.987,Walking
7.495,-0.7836,2.373,4.704,5.327000000000001,Walking
7.5,-1.2556,4.336,2.9052,5.367999999999999,Walking
7.503,-1.2556,4.336,2.9052,5.367999999999999,Walking
7.521,-2.3586,4.893,1.2569,5.575,Walking
7.522,-2.5412,5.2413,-0.0382,5.825,Walking
7.527,-2.6608,4.8171,-1.4986,5.704,Walking
7.538,-2.7197,2.6561,-2.0833,4.335,Walking
7.549,-2.6831,1.3888,-1.7595,3.4960000000000004,Walking
7.558,-2.1614,0.7385,-1.3922,2.675,Walking
7.567,-1.8816,0.3922,-1.3739,2.363,Walking
7.579,-1.9361,0.0236,-0.8725,2.124,Walking
7.598,-2.1628,-0.619,-0.0032,2.25,Walking
7.601,-2.4907,-1.061,0.966,2.8739999999999997,Walking
7.629,-2.3966,-1.7726,1.3361,3.267,Walking
7.63,-1.8853,-2.5655,1.6175,3.571,Walking
7.632,-1.0244,-2.5243,1.0027,2.903,Walking
7.641,-0.039,-2.3501,0.5581,2.416,Walking
7.642,-0.039,-2.3501,0.5581,2.416,Walking
7.646,0.5785,-2.2195,0.5038,2.3480000000000003,Walking
7.658,1.1037,-1.8424,0.5428,2.215,Walking
7.667,1.6267,-1.3893,0.4175,2.18,Walking
7.681,1.7167,-1.1702,0.593,2.161,Walking
7.686,1.6616,-0.958,0.4855,1.979,Walking
7.708,2.0631,-0.2896,0.6769,2.191,Walking
7.71,1.6571,-0.7238,-0.0998,1.811,Walking
7.719,1.665,-0.3962,0.3175,1.7409999999999999,Walking
7.739,0.9915,-0.8712,0.1357,1.327,Walking
7.741,0.9438,-0.6619,0.0521,1.1540000000000001,Walking
7.748,0.8924,-0.8774,-0.3793,1.308,Walking
7.76,0.9863,-0.8215,-0.3474,1.33,Walking
7.765,1.118,-0.4983,-0.112,1.229,Walking
7.78,1.047,-0.3532,0.3296,1.153,Walking
7.796,1.0267,-0.1933,0.3731,1.109,Walking
7.798,0.7661,-0.3628,0.452,0.961,Walking
7.835,0.6731,-0.5239,0.4421,0.961,Walking
7.839,0.4664,-0.554,0.3817,0.8190000000000001,Walking
7.841,0.2069,-0.5204,0.3961,0.6859999999999999,Walking
7.843,-0.0483,-0.3337,0.6018,0.69,Walking
7.85,-0.1561,0.0035,0.7354,0.752,Walking
7.859,-0.3109,0.1007,0.5448,0.635,Walking
7.867,-0.345,0.083,0.5124,0.623,Walking
7.878,-0.5125,-0.1251,0.4635,0.7020000000000001,Walking
7.894,-0.6602,-0.453,0.6558,1.035,Walking
7.897,-0.4668,-0.613,0.8409,1.141,Walking
7.933,-0.1616,-0.9729,0.9232,1.351,Walking
7.934,-0.0957,-1.2928,1.0124,1.645,Walking
7.935,-0.0015,-1.8604,1.2086,2.218,Walking
7.938,-0.0015,-1.8604,1.2086,2.218,Walking
7.939,-0.0715,-2.412,1.5616,2.8739999999999997,Walking
7.949,0.2149,-2.7509,1.7547,3.27,Walking
7.957,0.4091,-2.8995,1.9001,3.491,Walking
7.972,0.5633,-2.7749,1.9988,3.466,Walking
7.976,0.2013,-2.3286,2.1918,3.2039999999999997,Walking
7.99,-0.0444,-1.6072,2.0466,2.603,Walking
7.998,-0.2595,-0.4885,1.4919,1.591,Walking
8.011,-0.9538,0.3549,0.9279,1.3769999999999998,Walking
8.018,-1.1074,1.5023,0.2991,1.89,Walking
8.053,-0.6428,2.0753,-1.2596,2.511,Walking
8.054,0.458,1.8912,-3.3331,3.859,Walking
8.056,0.9767,2.0935,-4.3901,4.961,Walking
8.063,0.9656,2.3906,-4.3175,5.029,Walking
8.072,0.7295,2.3751,-3.3803,4.195,Walking
8.073,0.7295,2.3751,-3.3803,4.195,Walking
8.077,0.6358,3.8869,-3.0282,4.968,Walking
8.088,0.5948,4.8729,-2.9173,5.711,Walking
8.099,0.7753,5.3547,-2.7417,6.066,Walking
8.111,0.6069,4.3863,-2.3675,5.021,Walking
8.12,0.7975,3.1695,-1.4174,3.562,Walking
8.148,1.3525,2.1522,-0.6965,2.636,Walking
8.151,1.6068,1.7188,-0.4877,2.403,Walking
8.152,1.6068,1.7188,-0.4877,2.403,Walking
8.153,1.8115,0.614,-0.6863,2.032,Walking
8.159,1.6393,-0.5296,-0.6012,1.825,Walking
8.167,1.8107,-1.6916,-0.7544,2.59,Walking
8.181,1.4372,-1.8162,-0.61,2.395,Walking
8.186,0.6239,-2.4679,-0.9623,2.721,Walking
8.2,0.2762,-2.8098,-1.2363,3.082,Walking
8.221,0.1513,-2.9014,-1.3355,3.198,Walking
8.224,-0.1133,-2.5563,-1.1222,2.7939999999999996,Walking
8.228,-0.7186,-2.583,-0.2125,2.69,Walking
8.241,-0.9568,-2.5969,-0.0678,2.7680000000000002,Walking
8.248,-1.0607,-2.358,-0.4018,2.617,Walking
8.26,-1.0829,-2.0106,-0.2218,2.294,Walking
8.266,-1.1244,-1.6733,0.041,2.016,Walking
8.28,-1.198,-1.3388,0.1329,1.8019999999999998,Walking
8.288,-1.2658,-0.8109,0.1558,1.511,Walking
8.3,-1.3579,-0.3086,0.4601,1.4669999999999999,Walking
8.327,-1.4022,0.0979,0.6185,1.536,Walking
8.328,-1.3383,0.4091,0.7103,1.569,Walking
8.33,-1.1249,0.7209,0.5159,1.432,Walking
8.336,-0.9005,0.8852,0.3348,1.306,Walking
8.35,-0.6486,1.103,0.113,1.285,Walking
8.358,-0.3881,1.1535,-0.4757,1.307,Walking
8.368,-0.3787,1.0359,-0.6447,1.278,Walking
8.379,-0.3306,0.9805,-0.7865,1.3,Walking
8.388,-0.1984,0.9385,-0.7312,1.206,Walking
8.398,0.0684,0.9199,-0.7903,1.215,Walking
8.413,0.4104,0.8516,-0.8307,1.258,Walking
8.418,0.748,0.6392,-0.73,1.225,Walking
8.435,1.0713,0.4978,-0.5322,1.296,Walking
8.438,1.3444,0.1646,-0.5045,1.445,Walking
8.45,1.3574,-0.1901,-0.4093,1.43,Walking
8.458,1.3815,-0.5516,-0.5777,1.5959999999999999,Walking
8.468,1.1886,-0.8885,-0.3767,1.531,Walking
8.48,0.9563,-1.2811,-0.2774,1.6230000000000002,Walking
8.486,0.7494,-1.6027,-0.4058,1.815,Walking
8.502,0.7547,-1.6436,-0.7885,1.973,Walking
8.504,0.7547,-1.6436,-0.7885,1.973,Walking
8.527,0.66,-2.0574,-0.9301,2.352,Walking
8.528,0.5443,-2.6473,-0.8384,2.83,Walking
8.531,0.5898,-2.7779,-0.3519,2.861,Walking
8.538,0.8046,-2.3209,0.1183,2.459,Walking
8.55,1.3471,-1.2554,0.8061,2.01,Walking
8.557,2.038,-0.7045,1.2136,2.474,Walking
8.572,2.0,-0.4236,1.7848,2.714,Walking
8.574,2.0,-0.4236,1.7848,2.714,Walking
8.577,2.3171,-0.9344,2.2447,3.359,Walking
8.589,2.185,-2.0303,2.4663,3.87,Walking
8.598,1.424,-2.9359,2.274,3.977,Walking
8.624,0.5497,-3.9724,2.2737,4.61,Walking
8.631,0.1103,-4.1495,3.5501,5.462000000000001,Walking
8.633,-1.0967,-2.4041,6.6462,7.152,Walking
8.654,-1.6654,-0.0457,6.7941,6.995,Walking
8.656,-1.6654,-0.0457,6.7941,6.995,Walking
8.659,-1.7669,3.0605,5.6008,6.622999999999999,Walking
8.66,-2.152,5.7531,4.2686,7.48,Walking
8.668,-1.9497,7.8247,2.184,8.354,Walking
8.678,-1.6532,8.1687,-1.4238,8.455,Walking
8.699,-2.231,7.5252,-3.7226,8.687000000000001,Walking
8.703,-3.5189,5.7822,-2.9392,7.379,Walking
8.728,-4.1028,4.525,-1.499,6.289,Walking
8.73,-4.4362,3.2928,0.2295,5.529,Walking
8.732,-4.1076,1.5082,0.4281,4.397,Walking
8.738,-3.0037,-0.2539,-0.7737,3.112,Walking
8.749,-1.5779,-1.3433,-0.9713,2.289,Walking
8.76,-0.6636,-2.0454,-0.0867,2.1519999999999997,Walking
8.77,0.1033,-2.8948,0.9881,3.0610000000000004,Walking
8.778,0.9609,-3.2006,1.3044,3.5869999999999997,Walking
8.788,1.9893,-3.4906,0.7205,4.082,Walking
8.806,2.7786,-3.2816,0.9345,4.4,Walking
8.808,2.733,-3.1344,1.0245,4.283,Walking
8.819,2.7137,-2.8669,0.64,3.9989999999999997,Walking
8.842,2.341,-2.4027,0.3155,3.3689999999999998,Walking
8.844,1.9609,-1.815,0.5632,2.7310000000000003,Walking
8.848,1.6712,-1.2181,0.4984,2.127,Walking
8.861,1.3913,-0.708,0.2261,1.577,Walking
8.868,1.0504,-0.2406,0.274,1.112,Walking
8.879,0.7559,0.0354,0.4866,0.9,Walking
8.888,0.6384,0.0297,0.2658,0.6920000000000001,Walking
8.905,0.4612,0.0946,0.1641,0.499,Walking
8.907,0.0542,0.2613,0.1872,0.326,Walking
8.93,-0.3405,0.2786,0.3503,0.562,Walking
8.931,-0.5731,0.3064,0.3722,0.7490000000000001,Walking
8.939,-0.7774,0.2053,0.4575,0.925,Walking
8.95,-1.0432,0.2127,0.3967,1.136,Walking
8.96,-1.165,0.1373,0.4742,1.265,Walking
8.969,-1.04,0.2622,0.1224,1.079,Walking
8.982,-1.0544,0.3136,-0.015,1.1,Walking
8.986,-1.2487,0.378,0.0143,1.305,Walking
9.002,-1.08,0.577,0.228,1.246,Walking
9.004,-1.08,0.577,0.228,1.246,Walking
9.03,-0.9921,0.5327,0.6061,1.2790000000000001,Walking
9.032,-0.6775,0.7497,0.419,1.094,Walking
9.032,-0.1557,0.6193,0.1744,0.662,Walking
9.044,0.4011,0.4379,-0.0789,0.599,Walking
9.047,0.7993,-0.3154,-0.1017,0.865,Walking
9.062,1.1643,-0.9848,-0.1923,1.537,Walking
9.069,1.4663,-1.6149,-0.2522,2.1959999999999997,Walking
9.079,1.592,-2.0,-0.1106,2.559,Walking
9.09,1.5268,-2.358,0.3114,2.826,Walking
9.101,1.5533,-2.2201,0.7594,2.8139999999999996,Walking
